"Opps","Form","ItemId","Subject","Grade","Reporting_Category","Knowledge_and_Skill","Subject_Grade","difficulty","P.Value","ScorePoints","model","P0","P1","P2"
"Opportunity 1","Easy","A66731","Language Arts",4,"1.Vocabulary","1.Vocabulary.4","Language Arts_G4",-0.586938840880251,0.91,1,"logit",1,-0.586938840880251,0
"Opportunity 1","Easy","A55078","Language Arts",4,"3.Grammar","3.Grammar.4","Language Arts_G4",-1.29177587432417,0.96,1,"logit",1,-1.29177587432417,0
"Opportunity 2","Easy","A50811","Language Arts",4,"3.Grammar","3.Grammar.3","Language Arts_G4",-0.356135525354599,0.84,1,"logit",1,-0.356135525354599,0
"Opportunity 3","Easy","A19866","Language Arts",4,"1.Vocabulary","1.Vocabulary.4","Language Arts_G4",-1.09736084400572,0.73,1,"logit",1,-1.09736084400572,0
"Opportunity 2","Easy","A89821","Language Arts",4,"1.Vocabulary","1.Vocabulary.3","Language Arts_G4",-2.73045693588143,0.66,1,"logit",1,-2.73045693588143,0
"Opportunity 1","Easy","A69723","Language Arts",4,"4.Writing","4.Writing.4","Language Arts_G4",0.401559865642545,0.5,2,"adjacent logit",-0.13524656397771,0.938366295262799,NA
"Opportunity 2","Easy","A45756","Language Arts",4,"3.Grammar","3.Grammar.3","Language Arts_G4",0.553783133516283,0.52,1,"logit",1,0.553783133516283,0
"Opportunity 1","Easy","A88664","Math",3,"4.Measurement","4.Measurement.6","Math_G3",-0.078057459853358,0.52,1,"logit",1,-0.078057459853358,0
"Opportunity 3","Easy","A81789","Natural Science",5,"3.Earth Science","3.Earth Science.2","Natural Science_G5",-0.35837950239873,0.94,1,"logit",1,-0.35837950239873,0
"Opportunity 2","Easy","A52183","Language Arts",4,"3.Grammar","3.Grammar.6","Language Arts_G4",-1.05054452831072,0.95,1,"logit",1,-1.05054452831072,0
"Opportunity 3","Easy","A25921","Math",3,"4.Measurement","4.Measurement.6","Math_G3",-1.85658994162504,0.61,1,"logit",1,-1.85658994162504,0
"Opportunity 3","Easy","A25110","Natural Science",5,"1.Biology","1.Biology.2","Natural Science_G5",-0.0520690536412551,0.54,2,"adjacent logit",-2.34240507250359,2.23826696522108,NA
"Opportunity 2","Easy","A67792","Natural Science",5,"4.Chemistry","4.Chemistry.5","Natural Science_G5",-0.94456650879361,0.94,1,"logit",1,-0.94456650879361,0
"Opportunity 1","Easy","A96987","Natural Science",5,"1.Biology","1.Biology.3","Natural Science_G5",-0.272276396862208,0.95,2,"adjacent logit",-2.53749752432723,1.99294473060281,NA
"Opportunity 3","Easy","A29398","Natural Science",5,"4.Chemistry","4.Chemistry.3","Natural Science_G5",-0.368453848162409,0.68,1,"logit",1,-0.368453848162409,0
"Opportunity 3","Easy","A84483","Natural Science",5,"3.Earth Science","3.Earth Science.4","Natural Science_G5",-2.25108760826398,0.67,1,"logit",1,-2.25108760826398,0
"Opportunity 1","Easy","A51122","Language Arts",4,"3.Grammar","3.Grammar.6","Language Arts_G4",-0.616094272028309,0.57,1,"logit",1,-0.616094272028309,0
"Opportunity 3","Easy","A78919","Language Arts",4,"1.Vocabulary","1.Vocabulary.6","Language Arts_G4",-0.719569825347551,0.89,1,"logit",1,-0.719569825347551,0
"Opportunity 3","Easy","A60259","Math",3,"2.Algebra","2.Algebra.1","Math_G3",-1.65749313612553,0.68,1,"logit",1,-1.65749313612553,0
"Opportunity 3","Easy","A67890","Math",3,"2.Algebra","2.Algebra.3","Math_G3",0.126710674304837,0.95,1,"logit",1,0.126710674304837,0
"Opportunity 1","Easy","A27590","Natural Science",5,"3.Earth Science","3.Earth Science.1","Natural Science_G5",-0.0386843591060928,0.72,1,"logit",1,-0.0386843591060928,0
"Opportunity 3","Easy","A42824","Math",3,"2.Algebra","2.Algebra.5","Math_G3",0.0785773012793322,0.76,2,"adjacent logit",-0.709178296648649,0.866332899207314,NA
"Opportunity 1","Easy","A89120","Language Arts",4,"1.Vocabulary","1.Vocabulary.3","Language Arts_G4",-1.22501833816226,0.67,2,"adjacent logit",-2.66765794316326,0.217621266838742,NA
"Opportunity 3","Easy","A65943","Math",3,"3.Geometry","3.Geometry.3","Math_G3",-0.338645804328828,0.63,1,"logit",1,-0.338645804328828,0
"Opportunity 2","Easy","A98218","Math",3,"2.Algebra","2.Algebra.5","Math_G3",0.400876933853565,0.59,1,"logit",1,0.400876933853565,0
"Opportunity 3","Easy","A76678","Math",3,"2.Algebra","2.Algebra.1","Math_G3",-2.12882927081371,0.82,2,"adjacent logit",-3.78418401527972,-0.473474526347694,NA
"Opportunity 1","Easy","A49109","Language Arts",4,"4.Writing","4.Writing.1","Language Arts_G4",0.774714467526519,0.83,1,"logit",1,0.774714467526519,0
"Opportunity 2","Easy","A44228","Math",3,"3.Geometry","3.Geometry.4","Math_G3",-0.393107636234084,0.91,2,"adjacent logit",-1.33541352499748,0.54919825252931,NA
"Opportunity 3","Easy","A42109","Natural Science",5,"4.Chemistry","4.Chemistry.6","Natural Science_G5",-1.04552474287579,0.92,1,"logit",1,-1.04552474287579,0
"Opportunity 3","Easy","A71926","Natural Science",5,"2.Physics","2.Physics.4","Natural Science_G5",-0.421069889705215,0.8,1,"logit",1,-0.421069889705215,0
"Opportunity 3","Easy","A95065","Natural Science",5,"3.Earth Science","3.Earth Science.2","Natural Science_G5",-0.00928453956425934,0.83,1,"logit",1,-0.00928453956425934,0
"Opportunity 1","Easy","A39550","Math",3,"4.Measurement","4.Measurement.2","Math_G3",0.938541407395736,0.86,1,"logit",1,0.938541407395736,0
"Opportunity 1","Easy","A53319","Language Arts",4,"3.Grammar","3.Grammar.5","Language Arts_G4",1.19878661210874,0.6,1,"logit",1,1.19878661210874,0
"Opportunity 1","Easy","A80176","Language Arts",4,"2.Reading","2.Reading.1","Language Arts_G4",-1.45863594726456,0.57,1,"logit",1,-1.45863594726456,0
"Opportunity 3","Easy","A39408","Natural Science",5,"2.Physics","2.Physics.2","Natural Science_G5",0.0622778244055938,0.57,2,"adjacent logit",-1.04362568050653,1.16818132931772,NA
"Opportunity 2","Easy","A82803","Language Arts",4,"1.Vocabulary","1.Vocabulary.3","Language Arts_G4",0.167706975593822,0.52,1,"logit",1,0.167706975593822,0
"Opportunity 1","Easy","A54598","Math",3,"4.Measurement","4.Measurement.1","Math_G3",0.357765910572471,0.81,1,"logit",1,0.357765910572471,0
"Opportunity 3","Easy","A55109","Math",3,"2.Algebra","2.Algebra.1","Math_G3",-2.92501751181474,0.75,1,"logit",1,-2.92501751181474,0
"Opportunity 1","Easy","A35431","Natural Science",5,"1.Biology","1.Biology.5","Natural Science_G5",-1.04589929250208,0.8,2,"adjacent logit",-2.43608208050115,0.344283495496992,NA
"Opportunity 2","Easy","A87414","Language Arts",4,"3.Grammar","3.Grammar.4","Language Arts_G4",-1.89777701985549,0.84,1,"logit",1,-1.89777701985549,0
"Opportunity 3","Easy","A35814","Language Arts",4,"2.Reading","2.Reading.6","Language Arts_G4",-1.63286073467498,0.9,1,"logit",1,-1.63286073467498,0
"Opportunity 3","Easy","A64590","Language Arts",4,"1.Vocabulary","1.Vocabulary.5","Language Arts_G4",-0.765768072039788,0.94,1,"logit",1,-0.765768072039788,0
"Opportunity 1","Easy","A95205","Natural Science",5,"3.Earth Science","3.Earth Science.2","Natural Science_G5",-0.607778831262253,0.66,1,"logit",1,-0.607778831262253,0
"Opportunity 2","Easy","A47605","Language Arts",4,"1.Vocabulary","1.Vocabulary.1","Language Arts_G4",-1.12690658532177,0.58,1,"logit",1,-1.12690658532177,0
"Opportunity 2","Easy","A24099","Natural Science",5,"3.Earth Science","3.Earth Science.2","Natural Science_G5",-1.14984779771037,0.63,1,"logit",1,-1.14984779771037,0
"Opportunity 2","Easy","A61323","Math",3,"2.Algebra","2.Algebra.2","Math_G3",-0.0229557421303771,0.9,1,"logit",1,-0.0229557421303771,0
"Opportunity 2","Easy","A67620","Math",3,"3.Geometry","3.Geometry.6","Math_G3",-0.793297818701965,0.91,1,"logit",1,-0.793297818701965,0
"Opportunity 2","Easy","A73349","Natural Science",5,"1.Biology","1.Biology.6","Natural Science_G5",-2.58992328531483,0.57,1,"logit",1,-2.58992328531483,0
"Opportunity 2","Easy","A36402","Natural Science",5,"3.Earth Science","3.Earth Science.6","Natural Science_G5",-0.988255179749739,0.76,1,"logit",1,-0.988255179749739,0
"Opportunity 1","Easy","A88743","Natural Science",5,"1.Biology","1.Biology.4","Natural Science_G5",-0.426972404049233,0.8,1,"logit",1,-0.426972404049233,0
"Opportunity 1","Easy","A94927","Language Arts",4,"2.Reading","2.Reading.1","Language Arts_G4",-1.44574270217237,0.54,1,"logit",1,-1.44574270217237,0
"Opportunity 3","Easy","A72310","Natural Science",5,"3.Earth Science","3.Earth Science.2","Natural Science_G5",-0.832817222696686,0.52,2,"adjacent logit",-3.16232729390728,1.49669284851391,NA
"Opportunity 3","Easy","A57856","Math",3,"2.Algebra","2.Algebra.5","Math_G3",-1.56352979772895,0.78,2,"adjacent logit",-2.61469917291249,-0.512360422545405,NA
"Opportunity 3","Easy","A88994","Natural Science",5,"1.Biology","1.Biology.4","Natural Science_G5",-0.25918444775908,0.77,1,"logit",1,-0.25918444775908,0
"Opportunity 2","Easy","A88898","Natural Science",5,"2.Physics","2.Physics.5","Natural Science_G5",-0.615442037268458,0.51,2,"adjacent logit",-3.34743818023214,2.11655410569522,NA
"Opportunity 2","Easy","A49336","Math",3,"4.Measurement","4.Measurement.6","Math_G3",1.14634554849801,0.7,1,"logit",1,1.14634554849801,0
"Opportunity 1","Easy","A76470","Math",3,"4.Measurement","4.Measurement.1","Math_G3",-0.445016236224094,0.95,1,"logit",1,-0.445016236224094,0
"Opportunity 1","Easy","A48417","Math",3,"1.Probability","1.Probability.3","Math_G3",-0.486619051067066,0.79,1,"logit",1,-0.486619051067066,0
"Opportunity 3","Easy","A19032","Natural Science",5,"2.Physics","2.Physics.3","Natural Science_G5",-0.238106428220303,0.67,1,"logit",1,-0.238106428220303,0
"Opportunity 2","Easy","A57404","Natural Science",5,"3.Earth Science","3.Earth Science.1","Natural Science_G5",-0.79916097819427,0.88,1,"logit",1,-0.79916097819427,0
"Opportunity 3","Easy","A13192","Natural Science",5,"2.Physics","2.Physics.5","Natural Science_G5",-1.74246476420107,0.84,1,"logit",1,-1.74246476420107,0
"Opportunity 3","Easy","A15454","Natural Science",5,"1.Biology","1.Biology.1","Natural Science_G5",-0.935172516112141,0.72,1,"logit",1,-0.935172516112141,0
"Opportunity 1","Easy","A33823","Natural Science",5,"4.Chemistry","4.Chemistry.3","Natural Science_G5",-1.09450260443464,0.63,2,"adjacent logit",-2.35899110497462,0.16998589610533,NA
"Opportunity 1","Easy","A55355","Math",3,"2.Algebra","2.Algebra.2","Math_G3",0.268005031927309,0.54,1,"logit",1,0.268005031927309,0
"Opportunity 3","Easy","A64931","Math",3,"3.Geometry","3.Geometry.4","Math_G3",-0.977959994880995,0.77,1,"logit",1,-0.977959994880995,0
"Opportunity 1","Easy","A93550","Natural Science",5,"1.Biology","1.Biology.1","Natural Science_G5",-0.78033777020482,0.67,1,"logit",1,-0.78033777020482,0
"Opportunity 3","Easy","A43703","Language Arts",4,"1.Vocabulary","1.Vocabulary.3","Language Arts_G4",-1.43787135262013,0.59,1,"logit",1,-1.43787135262013,0
"Opportunity 2","Easy","A33440","Language Arts",4,"2.Reading","2.Reading.3","Language Arts_G4",-0.690627225693318,0.83,1,"logit",1,-0.690627225693318,0
"Opportunity 2","Easy","A21696","Natural Science",5,"3.Earth Science","3.Earth Science.1","Natural Science_G5",-1.94524406374874,0.88,1,"logit",1,-1.94524406374874,0
"Opportunity 1","Easy","A62879","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",-0.99799895132963,0.76,1,"logit",1,-0.99799895132963,0
"Opportunity 3","Easy","A56253","Natural Science",5,"2.Physics","2.Physics.3","Natural Science_G5",-2.04171438197289,0.91,2,"adjacent logit",-3.4359936083297,-0.647435155616082,NA
"Opportunity 1","Easy","A43917","Language Arts",4,"1.Vocabulary","1.Vocabulary.3","Language Arts_G4",-0.735582784196918,0.56,1,"logit",1,-0.735582784196918,0
"Opportunity 1","Easy","A45485","Language Arts",4,"1.Vocabulary","1.Vocabulary.3","Language Arts_G4",1.08131492519487,0.7,2,"adjacent logit",-2.68065654236108,4.84328639275081,NA
"Opportunity 1","Easy","A88759","Natural Science",5,"3.Earth Science","3.Earth Science.6","Natural Science_G5",-2.05245304446768,0.64,1,"logit",1,-2.05245304446768,0
"Opportunity 3","Easy","A69666","Math",3,"2.Algebra","2.Algebra.1","Math_G3",1.2603133449197,0.92,1,"logit",1,1.2603133449197,0
"Opportunity 2","Easy","A50513","Language Arts",4,"2.Reading","2.Reading.6","Language Arts_G4",0.166340980235698,0.61,1,"logit",1,0.166340980235698,0
"Opportunity 1","Easy","A26102","Natural Science",5,"2.Physics","2.Physics.5","Natural Science_G5",-1.71878296578986,0.92,1,"logit",1,-1.71878296578986,0
"Opportunity 2","Easy","A16403","Natural Science",5,"1.Biology","1.Biology.4","Natural Science_G5",0.352189478620957,0.5,1,"logit",1,0.352189478620957,0
"Opportunity 1","Easy","A91013","Natural Science",5,"4.Chemistry","4.Chemistry.3","Natural Science_G5",-0.200031332733977,0.79,1,"logit",1,-0.200031332733977,0
"Opportunity 1","Easy","A69982","Language Arts",4,"3.Grammar","3.Grammar.1","Language Arts_G4",-1.6139329065267,0.51,1,"logit",1,-1.6139329065267,0
"Opportunity 3","Easy","A11280","Math",3,"2.Algebra","2.Algebra.5","Math_G3",0.853807651732861,0.86,2,"adjacent logit",-0.949843954896304,2.65745925836203,NA
"Opportunity 1","Easy","A82765","Math",3,"1.Probability","1.Probability.4","Math_G3",-1.34514575031601,0.7,2,"adjacent logit",-3.12857418745146,0.438282686819444,NA
"Opportunity 1","Easy","A94422","Math",3,"2.Algebra","2.Algebra.4","Math_G3",-1.00256332493852,0.74,1,"logit",1,-1.00256332493852,0
"Opportunity 1","Easy","A58697","Natural Science",5,"3.Earth Science","3.Earth Science.1","Natural Science_G5",0.0354798135730392,0.86,1,"logit",1,0.0354798135730392,0
"Opportunity 2","Easy","A45173","Natural Science",5,"4.Chemistry","4.Chemistry.3","Natural Science_G5",-0.441879388409321,0.77,1,"logit",1,-0.441879388409321,0
"Opportunity 3","Easy","A78336","Natural Science",5,"2.Physics","2.Physics.2","Natural Science_G5",-0.668398713547263,0.54,1,"logit",1,-0.668398713547263,0
"Opportunity 1","Easy","A59170","Language Arts",4,"1.Vocabulary","1.Vocabulary.5","Language Arts_G4",-0.393631353410925,0.87,1,"logit",1,-0.393631353410925,0
"Opportunity 1","Easy","A61766","Math",3,"3.Geometry","3.Geometry.5","Math_G3",-1.96445013374692,0.71,1,"logit",1,-1.96445013374692,0
"Opportunity 2","Easy","A94184","Language Arts",4,"2.Reading","2.Reading.2","Language Arts_G4",-1.97831921699172,0.69,1,"logit",1,-1.97831921699172,0
"Opportunity 2","Easy","A73814","Math",3,"4.Measurement","4.Measurement.4","Math_G3",-0.48972602748563,0.97,1,"logit",1,-0.48972602748563,0
"Opportunity 3","Easy","A98420","Natural Science",5,"2.Physics","2.Physics.6","Natural Science_G5",-1.65382086896358,0.51,1,"logit",1,-1.65382086896358,0
"Opportunity 3","Easy","A28774","Math",3,"1.Probability","1.Probability.4","Math_G3",-1.44716439584598,0.76,1,"logit",1,-1.44716439584598,0
"Opportunity 3","Easy","A88763","Math",3,"2.Algebra","2.Algebra.4","Math_G3",1.13110446112912,0.76,2,"adjacent logit",-2.92247802458215,5.18468694684038,NA
"Opportunity 1","Easy","A34049","Language Arts",4,"4.Writing","4.Writing.6","Language Arts_G4",0.571905526348221,0.91,2,"adjacent logit",-2.28167931475506,3.42549036745151,NA
"Opportunity 2","Easy","A92517","Language Arts",4,"1.Vocabulary","1.Vocabulary.1","Language Arts_G4",-2.03787089498767,0.64,2,"adjacent logit",-3.59312211744858,-0.482619672526763,NA
"Opportunity 3","Easy","A43894","Language Arts",4,"4.Writing","4.Writing.6","Language Arts_G4",-1.40328850360792,0.66,1,"logit",1,-1.40328850360792,0
"Opportunity 3","Easy","A12090","Natural Science",5,"2.Physics","2.Physics.1","Natural Science_G5",-0.220260196133648,0.88,2,"adjacent logit",-3.08718433265287,2.64666394038557,NA
"Opportunity 2","Easy","A61493","Language Arts",4,"1.Vocabulary","1.Vocabulary.3","Language Arts_G4",-1.01662115267581,0.7,1,"logit",1,-1.01662115267581,0
"Opportunity 3","Easy","A23272","Natural Science",5,"3.Earth Science","3.Earth Science.3","Natural Science_G5",-2.40128823996885,0.85,1,"logit",1,-2.40128823996885,0
"Opportunity 1","Easy","A92386","Natural Science",5,"3.Earth Science","3.Earth Science.3","Natural Science_G5",-1.39507646473,0.91,1,"logit",1,-1.39507646473,0
"Opportunity 2","Easy","A92040","Language Arts",4,"4.Writing","4.Writing.6","Language Arts_G4",-0.985211382983562,0.62,1,"logit",1,-0.985211382983562,0
"Opportunity 3","Easy","A31589","Natural Science",5,"3.Earth Science","3.Earth Science.4","Natural Science_G5",-2.22842326599627,0.57,1,"logit",1,-2.22842326599627,0
"Opportunity 2","Easy","A28475","Language Arts",4,"4.Writing","4.Writing.5","Language Arts_G4",-2.45457634162669,0.63,1,"logit",1,-2.45457634162669,0
"Opportunity 1","Easy","A12197","Math",3,"1.Probability","1.Probability.1","Math_G3",-0.467796732426513,0.68,2,"adjacent logit",-2.54997972909432,1.6143862642413,NA
"Opportunity 1","Easy","A92792","Math",3,"3.Geometry","3.Geometry.2","Math_G3",0.294146591295098,0.95,1,"logit",1,0.294146591295098,0
"Opportunity 1","Easy","A77678","Natural Science",5,"1.Biology","1.Biology.3","Natural Science_G5",-0.564948190997662,0.71,1,"logit",1,-0.564948190997662,0
"Opportunity 1","Easy","A14319","Natural Science",5,"2.Physics","2.Physics.6","Natural Science_G5",-1.55742978338579,0.66,1,"logit",1,-1.55742978338579,0
"Opportunity 3","Easy","A61368","Language Arts",4,"2.Reading","2.Reading.5","Language Arts_G4",-1.84819590855096,0.53,1,"logit",1,-1.84819590855096,0
"Opportunity 3","Easy","A10976","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",-2.21956028349483,0.63,1,"logit",1,-2.21956028349483,0
"Opportunity 3","Easy","A81041","Math",3,"3.Geometry","3.Geometry.5","Math_G3",-0.744003797583159,0.8,2,"adjacent logit",-1.65551844364305,0.167510848476735,NA
"Opportunity 3","Easy","A35122","Math",3,"3.Geometry","3.Geometry.2","Math_G3",-0.629216266810917,0.66,1,"logit",1,-0.629216266810917,0
"Opportunity 1","Easy","A79357","Language Arts",4,"3.Grammar","3.Grammar.3","Language Arts_G4",0.0649323649271302,0.92,1,"logit",1,0.0649323649271302,0
"Opportunity 3","Easy","A54907","Natural Science",5,"4.Chemistry","4.Chemistry.4","Natural Science_G5",-0.971033306968446,0.78,1,"logit",1,-0.971033306968446,0
"Opportunity 1","Easy","A60735","Natural Science",5,"1.Biology","1.Biology.4","Natural Science_G5",-1.82724493641848,0.9,1,"logit",1,-1.82724493641848,0
"Opportunity 1","Easy","A39192","Language Arts",4,"1.Vocabulary","1.Vocabulary.4","Language Arts_G4",-1.95938272698367,0.77,1,"logit",1,-1.95938272698367,0
"Opportunity 2","Easy","A58027","Natural Science",5,"3.Earth Science","3.Earth Science.4","Natural Science_G5",0.224739511257509,0.62,1,"logit",1,0.224739511257509,0
"Opportunity 3","Easy","A21881","Natural Science",5,"3.Earth Science","3.Earth Science.3","Natural Science_G5",-0.9936902990717,0.74,1,"logit",1,-0.9936902990717,0
"Opportunity 1","Easy","A14553","Natural Science",5,"2.Physics","2.Physics.3","Natural Science_G5",-0.484862477737988,0.72,1,"logit",1,-0.484862477737988,0
"Opportunity 1","Easy","A83509","Math",3,"2.Algebra","2.Algebra.3","Math_G3",-1.36265570592263,0.78,1,"logit",1,-1.36265570592263,0
"Opportunity 2","Easy","A44418","Math",3,"4.Measurement","4.Measurement.4","Math_G3",-1.55734039719691,0.53,1,"logit",1,-1.55734039719691,0
"Opportunity 2","Easy","A10794","Language Arts",4,"1.Vocabulary","1.Vocabulary.1","Language Arts_G4",-1.10189811935363,0.5,1,"logit",1,-1.10189811935363,0
"Opportunity 3","Easy","A15187","Natural Science",5,"1.Biology","1.Biology.1","Natural Science_G5",-2.28795301823979,0.64,1,"logit",1,-2.28795301823979,0
"Opportunity 3","Easy","A34043","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",-1.4579884947173,0.7,1,"logit",1,-1.4579884947173,0
"Opportunity 2","Easy","A47831","Natural Science",5,"4.Chemistry","4.Chemistry.4","Natural Science_G5",1.06602453983874,0.52,1,"logit",1,1.06602453983874,0
"Opportunity 1","Easy","A38351","Math",3,"1.Probability","1.Probability.1","Math_G3",-1.60589290148249,0.72,1,"logit",1,-1.60589290148249,0
"Opportunity 3","Easy","A74177","Math",3,"4.Measurement","4.Measurement.5","Math_G3",-0.467755829048676,0.92,1,"logit",1,-0.467755829048676,0
"Opportunity 3","Easy","A13827","Language Arts",4,"3.Grammar","3.Grammar.4","Language Arts_G4",-0.255861258125249,0.55,2,"adjacent logit",-1.13136621721576,0.619643700965258,NA
"Opportunity 2","Easy","A78120","Natural Science",5,"1.Biology","1.Biology.6","Natural Science_G5",-1.19800511742275,0.52,1,"logit",1,-1.19800511742275,0
"Opportunity 1","Easy","A66741","Math",3,"1.Probability","1.Probability.3","Math_G3",-2.1679538534454,0.54,2,"adjacent logit",-3.64243693032295,-0.693470776567852,NA
"Opportunity 3","Easy","A93181","Math",3,"1.Probability","1.Probability.1","Math_G3",-0.154021364623055,0.74,2,"adjacent logit",-0.610790690952573,0.302747961706463,NA
"Opportunity 3","Easy","A66757","Language Arts",4,"3.Grammar","3.Grammar.1","Language Arts_G4",-1.88663644121555,0.56,1,"logit",1,-1.88663644121555,0
"Opportunity 1","Easy","A15640","Language Arts",4,"2.Reading","2.Reading.2","Language Arts_G4",-0.464601193207874,0.51,1,"logit",1,-0.464601193207874,0
"Opportunity 1","Easy","A83482","Math",3,"3.Geometry","3.Geometry.1","Math_G3",-0.647947449358779,0.8,1,"logit",1,-0.647947449358779,0
"Opportunity 3","Medium","A64777","Language Arts",4,"3.Grammar","3.Grammar.6","Language Arts_G4",-0.836718526411497,0.59,1,"logit",1,-0.836718526411497,0
"Opportunity 1","Medium","A85967","Math",3,"4.Measurement","4.Measurement.2","Math_G3",0.894249617244389,0.41,1,"logit",1,0.894249617244389,0
"Opportunity 3","Medium","A51806","Math",3,"2.Algebra","2.Algebra.2","Math_G3",-1.01100528216132,0.42,1,"logit",1,-1.01100528216132,0
"Opportunity 2","Medium","A33530","Natural Science",5,"2.Physics","2.Physics.2","Natural Science_G5",0.869143262603703,0.75,1,"logit",1,0.869143262603703,0
"Opportunity 3","Medium","A34296","Natural Science",5,"2.Physics","2.Physics.1","Natural Science_G5",0.756917948327901,0.62,1,"logit",1,0.756917948327901,0
"Opportunity 2","Medium","A27772","Math",3,"3.Geometry","3.Geometry.1","Math_G3",-0.626672885663189,0.59,1,"logit",1,-0.626672885663189,0
"Opportunity 3","Medium","A27482","Math",3,"1.Probability","1.Probability.3","Math_G3",-0.38484581990023,0.36,1,"logit",1,-0.38484581990023,0
"Opportunity 2","Medium","A11044","Natural Science",5,"4.Chemistry","4.Chemistry.2","Natural Science_G5",0.428250084531233,0.75,1,"logit",1,0.428250084531233,0
"Opportunity 2","Medium","A78184","Math",3,"1.Probability","1.Probability.2","Math_G3",-0.829256399515294,0.72,1,"logit",1,-0.829256399515294,0
"Opportunity 3","Medium","A91464","Math",3,"4.Measurement","4.Measurement.1","Math_G3",0.121977103243264,0.39,1,"logit",1,0.121977103243264,0
"Opportunity 3","Medium","A49152","Natural Science",5,"1.Biology","1.Biology.4","Natural Science_G5",0.0549992477443768,0.61,1,"logit",1,0.0549992477443768,0
"Opportunity 1","Medium","A51436","Language Arts",4,"3.Grammar","3.Grammar.6","Language Arts_G4",-1.87903599312572,0.76,1,"logit",1,-1.87903599312572,0
"Opportunity 3","Medium","A60564","Math",3,"3.Geometry","3.Geometry.4","Math_G3",-0.476018995052757,0.35,1,"logit",1,-0.476018995052757,0
"Opportunity 3","Medium","A49362","Natural Science",5,"1.Biology","1.Biology.6","Natural Science_G5",-0.386668726459,0.47,1,"logit",1,-0.386668726459,0
"Opportunity 2","Medium","A68730","Language Arts",4,"1.Vocabulary","1.Vocabulary.5","Language Arts_G4",-0.691138811226813,0.79,1,"logit",1,-0.691138811226813,0
"Opportunity 2","Medium","A61173","Language Arts",4,"3.Grammar","3.Grammar.3","Language Arts_G4",-2.99276322161695,0.57,2,"adjacent logit",-3.18044329794323,-2.80508314529068,NA
"Opportunity 1","Medium","A28880","Language Arts",4,"1.Vocabulary","1.Vocabulary.2","Language Arts_G4",-0.119430402916142,0.63,2,"adjacent logit",-2.51692717053436,2.27806636470208,NA
"Opportunity 2","Medium","A38554","Language Arts",4,"1.Vocabulary","1.Vocabulary.2","Language Arts_G4",1.28157128819235,0.51,1,"logit",1,1.28157128819235,0
"Opportunity 1","Medium","A10527","Language Arts",4,"3.Grammar","3.Grammar.4","Language Arts_G4",0.100263065357801,0.39,1,"logit",1,0.100263065357801,0
"Opportunity 3","Medium","A20461","Natural Science",5,"2.Physics","2.Physics.5","Natural Science_G5",-0.00736023206079293,0.59,2,"adjacent logit",-0.221366641085324,0.206646176963738,NA
"Opportunity 1","Medium","A64985","Math",3,"4.Measurement","4.Measurement.2","Math_G3",1.52807131854292,0.64,2,"adjacent logit",-2.08909790952891,5.14524054661474,NA
"Opportunity 3","Medium","A66742","Language Arts",4,"2.Reading","2.Reading.5","Language Arts_G4",0.0254226664578778,0.78,1,"logit",1,0.0254226664578778,0
"Opportunity 2","Medium","A49982","Language Arts",4,"1.Vocabulary","1.Vocabulary.1","Language Arts_G4",-0.225040405551355,0.41,1,"logit",1,-0.225040405551355,0
"Opportunity 1","Medium","A13302","Math",3,"4.Measurement","4.Measurement.6","Math_G3",0.73431556611422,0.5,1,"logit",1,0.73431556611422,0
"Opportunity 3","Medium","A14191","Math",3,"3.Geometry","3.Geometry.5","Math_G3",1.1893651035165,0.32,1,"logit",1,1.1893651035165,0
"Opportunity 1","Medium","A99400","Math",3,"3.Geometry","3.Geometry.3","Math_G3",0.22782887101629,0.54,1,"logit",1,0.22782887101629,0
"Opportunity 3","Medium","A84963","Math",3,"1.Probability","1.Probability.3","Math_G3",0.030728580143716,0.51,2,"adjacent logit",-2.01036712081303,2.07182428110046,NA
"Opportunity 2","Medium","A12314","Natural Science",5,"1.Biology","1.Biology.2","Natural Science_G5",-0.160831895624061,0.44,1,"logit",1,-0.160831895624061,0
"Opportunity 1","Medium","A71991","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",0.856691163160101,0.37,1,"logit",1,0.856691163160101,0
"Opportunity 3","Medium","A72381","Natural Science",5,"1.Biology","1.Biology.2","Natural Science_G5",-0.977995634554044,0.41,2,"adjacent logit",-2.3955098946491,0.439518625541008,NA
"Opportunity 1","Medium","A60966","Natural Science",5,"4.Chemistry","4.Chemistry.3","Natural Science_G5",0.283964131460074,0.49,1,"logit",1,0.283964131460074,0
"Opportunity 2","Medium","A99912","Math",3,"2.Algebra","2.Algebra.4","Math_G3",0.582886290520674,0.65,1,"logit",1,0.582886290520674,0
"Opportunity 2","Medium","A69402","Math",3,"1.Probability","1.Probability.5","Math_G3",-1.95378267737313,0.6,1,"logit",1,-1.95378267737313,0
"Opportunity 3","Medium","A74289","Natural Science",5,"3.Earth Science","3.Earth Science.5","Natural Science_G5",-2.04078817025115,0.51,2,"adjacent logit",-2.84659969861367,-1.23497664188863,NA
