Opps,Form,ItemId,Subject,Grade,Reporting_Category,Knowledge_and_Skill,Subject_Grade,difficulty,P.Value
Opportunity 1,Easy,A33823,Natural Science,5,4.Chemistry,4.Chemistry.3,Natural Science_G5,-1.0945026044346449,0.63
Opportunity 1,Easy,A55355,Math,3,2.Algebra,2.Algebra.2,Math_G3,0.26800503192730885,0.54
Opportunity 3,Easy,A64931,Math,3,3.Geometry,3.Geometry.4,Math_G3,-0.9779599948809953,0.77
Opportunity 1,Easy,A93550,Natural Science,5,1.Biology,1.Biology.1,Natural Science_G5,-0.7803377702048196,0.67
Opportunity 3,Easy,A43703,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,-1.4378713526201268,0.59
Opportunity 2,Easy,A33440,Language Arts,4,2.Reading,2.Reading.3,Language Arts_G4,-0.6906272256933185,0.83
Opportunity 2,Easy,A21696,Natural Science,5,3.Earth Science,3.Earth Science.1,Natural Science_G5,-1.945244063748742,0.88
Opportunity 1,Easy,A62879,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,-0.9979989513296296,0.76
Opportunity 3,Easy,A56253,Natural Science,5,2.Physics,2.Physics.3,Natural Science_G5,-2.0417143819728922,0.91
Opportunity 1,Easy,A43917,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,-0.7355827841969184,0.56
Opportunity 1,Easy,A45485,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,1.0813149251948684,0.7
Opportunity 1,Easy,A88759,Natural Science,5,3.Earth Science,3.Earth Science.6,Natural Science_G5,-2.0524530444676783,0.64
Opportunity 3,Easy,A69666,Math,3,2.Algebra,2.Algebra.1,Math_G3,1.2603133449197002,0.92
Opportunity 2,Easy,A50513,Language Arts,4,2.Reading,2.Reading.6,Language Arts_G4,0.1663409802356982,0.61
Opportunity 1,Easy,A26102,Natural Science,5,2.Physics,2.Physics.5,Natural Science_G5,-1.7187829657898648,0.92
Opportunity 2,Easy,A16403,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,0.35218947862095695,0.5
Opportunity 1,Easy,A91013,Natural Science,5,4.Chemistry,4.Chemistry.3,Natural Science_G5,-0.20003133273397677,0.79
Opportunity 1,Easy,A69982,Language Arts,4,3.Grammar,3.Grammar.1,Language Arts_G4,-1.6139329065266956,0.51
Opportunity 3,Easy,A11280,Math,3,2.Algebra,2.Algebra.5,Math_G3,0.853807651732861,0.86
Opportunity 1,Easy,A82765,Math,3,1.Probability,1.Probability.4,Math_G3,-1.3451457503160094,0.7
Opportunity 1,Easy,A94422,Math,3,2.Algebra,2.Algebra.4,Math_G3,-1.0025633249385186,0.74
Opportunity 1,Easy,A58697,Natural Science,5,3.Earth Science,3.Earth Science.1,Natural Science_G5,0.0354798135730392,0.86
Opportunity 2,Easy,A45173,Natural Science,5,4.Chemistry,4.Chemistry.3,Natural Science_G5,-0.44187938840932056,0.77
Opportunity 3,Easy,A78336,Natural Science,5,2.Physics,2.Physics.2,Natural Science_G5,-0.6683987135472629,0.54
Opportunity 1,Easy,A59170,Language Arts,4,1.Vocabulary,1.Vocabulary.5,Language Arts_G4,-0.39363135341092537,0.87
Opportunity 1,Easy,A61766,Math,3,3.Geometry,3.Geometry.5,Math_G3,-1.964450133746921,0.71
Opportunity 2,Easy,A94184,Language Arts,4,2.Reading,2.Reading.2,Language Arts_G4,-1.978319216991721,0.69
Opportunity 2,Easy,A73814,Math,3,4.Measurement,4.Measurement.4,Math_G3,-0.48972602748562966,0.97
Opportunity 3,Easy,A98420,Natural Science,5,2.Physics,2.Physics.6,Natural Science_G5,-1.6538208689635825,0.51
Opportunity 3,Easy,A28774,Math,3,1.Probability,1.Probability.4,Math_G3,-1.4471643958459826,0.76
Opportunity 3,Easy,A88763,Math,3,2.Algebra,2.Algebra.4,Math_G3,1.1311044611291157,0.76
Opportunity 1,Easy,A34049,Language Arts,4,4.Writing,4.Writing.6,Language Arts_G4,0.5719055263482207,0.91
Opportunity 2,Easy,A92517,Language Arts,4,1.Vocabulary,1.Vocabulary.1,Language Arts_G4,-2.0378708949876705,0.64
Opportunity 3,Easy,A43894,Language Arts,4,4.Writing,4.Writing.6,Language Arts_G4,-1.4032885036079237,0.66
Opportunity 3,Easy,A12090,Natural Science,5,2.Physics,2.Physics.1,Natural Science_G5,-0.22026019613364822,0.88
Opportunity 2,Easy,A61493,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,-1.016621152675814,0.7
Opportunity 3,Easy,A23272,Natural Science,5,3.Earth Science,3.Earth Science.3,Natural Science_G5,-2.4012882399688484,0.85
Opportunity 1,Easy,A92386,Natural Science,5,3.Earth Science,3.Earth Science.3,Natural Science_G5,-1.395076464730002,0.91
Opportunity 2,Easy,A92040,Language Arts,4,4.Writing,4.Writing.6,Language Arts_G4,-0.9852113829835616,0.62
Opportunity 3,Easy,A31589,Natural Science,5,3.Earth Science,3.Earth Science.4,Natural Science_G5,-2.228423265996268,0.57
Opportunity 2,Easy,A28475,Language Arts,4,4.Writing,4.Writing.5,Language Arts_G4,-2.454576341626689,0.63
Opportunity 1,Easy,A12197,Math,3,1.Probability,1.Probability.1,Math_G3,-0.4677967324265128,0.68
Opportunity 1,Easy,A92792,Math,3,3.Geometry,3.Geometry.2,Math_G3,0.29414659129509824,0.95
Opportunity 1,Easy,A77678,Natural Science,5,1.Biology,1.Biology.3,Natural Science_G5,-0.5649481909976618,0.71
Opportunity 1,Easy,A14319,Natural Science,5,2.Physics,2.Physics.6,Natural Science_G5,-1.5574297833857944,0.66
Opportunity 3,Easy,A61368,Language Arts,4,2.Reading,2.Reading.5,Language Arts_G4,-1.8481959085509638,0.53
Opportunity 3,Easy,A10976,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,-2.219560283494827,0.63
Opportunity 3,Easy,A81041,Math,3,3.Geometry,3.Geometry.5,Math_G3,-0.7440037975831592,0.8
Opportunity 3,Easy,A35122,Math,3,3.Geometry,3.Geometry.2,Math_G3,-0.6292162668109171,0.66
Opportunity 1,Easy,A79357,Language Arts,4,3.Grammar,3.Grammar.3,Language Arts_G4,0.06493236492713017,0.92
Opportunity 3,Easy,A54907,Natural Science,5,4.Chemistry,4.Chemistry.4,Natural Science_G5,-0.9710333069684456,0.78
Opportunity 1,Easy,A60735,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,-1.8272449364184757,0.9
Opportunity 1,Easy,A39192,Language Arts,4,1.Vocabulary,1.Vocabulary.4,Language Arts_G4,-1.9593827269836723,0.77
Opportunity 2,Easy,A58027,Natural Science,5,3.Earth Science,3.Earth Science.4,Natural Science_G5,0.22473951125750902,0.62
Opportunity 3,Easy,A21881,Natural Science,5,3.Earth Science,3.Earth Science.3,Natural Science_G5,-0.9936902990717003,0.74
Opportunity 1,Easy,A14553,Natural Science,5,2.Physics,2.Physics.3,Natural Science_G5,-0.4848624777379883,0.72
Opportunity 1,Easy,A83509,Math,3,2.Algebra,2.Algebra.3,Math_G3,-1.362655705922628,0.78
Opportunity 2,Easy,A44418,Math,3,4.Measurement,4.Measurement.4,Math_G3,-1.5573403971969086,0.53
Opportunity 2,Easy,A10794,Language Arts,4,1.Vocabulary,1.Vocabulary.1,Language Arts_G4,-1.101898119353631,0.5
Opportunity 3,Easy,A15187,Natural Science,5,1.Biology,1.Biology.1,Natural Science_G5,-2.2879530182397945,0.64
Opportunity 3,Easy,A34043,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,-1.457988494717299,0.7
Opportunity 2,Easy,A47831,Natural Science,5,4.Chemistry,4.Chemistry.4,Natural Science_G5,1.0660245398387382,0.52
Opportunity 1,Easy,A38351,Math,3,1.Probability,1.Probability.1,Math_G3,-1.6058929014824928,0.72
Opportunity 3,Easy,A74177,Math,3,4.Measurement,4.Measurement.5,Math_G3,-0.4677558290486758,0.92
Opportunity 3,Easy,A13827,Language Arts,4,3.Grammar,3.Grammar.4,Language Arts_G4,-0.2558612581252493,0.55
Opportunity 2,Easy,A78120,Natural Science,5,1.Biology,1.Biology.6,Natural Science_G5,-1.1980051174227528,0.52
Opportunity 1,Easy,A66741,Math,3,1.Probability,1.Probability.3,Math_G3,-2.1679538534454017,0.54
Opportunity 3,Easy,A93181,Math,3,1.Probability,1.Probability.1,Math_G3,-0.15402136462305482,0.74
Opportunity 3,Easy,A66757,Language Arts,4,3.Grammar,3.Grammar.1,Language Arts_G4,-1.8866364412155547,0.56
Opportunity 1,Easy,A15640,Language Arts,4,2.Reading,2.Reading.2,Language Arts_G4,-0.46460119320787413,0.51
Opportunity 1,Easy,A83482,Math,3,3.Geometry,3.Geometry.1,Math_G3,-0.6479474493587791,0.8
Opportunity 3,Medium,A64777,Language Arts,4,3.Grammar,3.Grammar.6,Language Arts_G4,-0.8367185264114966,0.59
Opportunity 1,Medium,A85967,Math,3,4.Measurement,4.Measurement.2,Math_G3,0.8942496172443892,0.41
Opportunity 3,Medium,A51806,Math,3,2.Algebra,2.Algebra.2,Math_G3,-1.0110052821613205,0.42
Opportunity 2,Medium,A33530,Natural Science,5,2.Physics,2.Physics.2,Natural Science_G5,0.8691432626037026,0.75
Opportunity 3,Medium,A34296,Natural Science,5,2.Physics,2.Physics.1,Natural Science_G5,0.7569179483279008,0.62
Opportunity 2,Medium,A27772,Math,3,3.Geometry,3.Geometry.1,Math_G3,-0.6266728856631889,0.59
Opportunity 3,Medium,A27482,Math,3,1.Probability,1.Probability.3,Math_G3,-0.3848458199002305,0.36
Opportunity 2,Medium,A11044,Natural Science,5,4.Chemistry,4.Chemistry.2,Natural Science_G5,0.4282500845312326,0.75
Opportunity 2,Medium,A78184,Math,3,1.Probability,1.Probability.2,Math_G3,-0.8292563995152944,0.72
Opportunity 3,Medium,A91464,Math,3,4.Measurement,4.Measurement.1,Math_G3,0.1219771032432639,0.39
Opportunity 3,Medium,A49152,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,0.05499924774437679,0.61
Opportunity 1,Medium,A51436,Language Arts,4,3.Grammar,3.Grammar.6,Language Arts_G4,-1.8790359931257232,0.76
Opportunity 3,Medium,A60564,Math,3,3.Geometry,3.Geometry.4,Math_G3,-0.4760189950527565,0.35
Opportunity 3,Medium,A49362,Natural Science,5,1.Biology,1.Biology.6,Natural Science_G5,-0.3866687264589997,0.47
Opportunity 2,Medium,A68730,Language Arts,4,1.Vocabulary,1.Vocabulary.5,Language Arts_G4,-0.6911388112268125,0.79
Opportunity 2,Medium,A61173,Language Arts,4,3.Grammar,3.Grammar.3,Language Arts_G4,-2.992763221616954,0.57
Opportunity 1,Medium,A28880,Language Arts,4,1.Vocabulary,1.Vocabulary.2,Language Arts_G4,-0.11943040291614171,0.63
Opportunity 2,Medium,A38554,Language Arts,4,1.Vocabulary,1.Vocabulary.2,Language Arts_G4,1.2815712881923518,0.51
Opportunity 1,Medium,A10527,Language Arts,4,3.Grammar,3.Grammar.4,Language Arts_G4,0.1002630653578006,0.39
Opportunity 3,Medium,A20461,Natural Science,5,2.Physics,2.Physics.5,Natural Science_G5,-0.007360232060792934,0.59
Opportunity 1,Medium,A64985,Math,3,4.Measurement,4.Measurement.2,Math_G3,1.528071318542919,0.64
Opportunity 3,Medium,A66742,Language Arts,4,2.Reading,2.Reading.5,Language Arts_G4,0.025422666457877816,0.78
Opportunity 2,Medium,A49982,Language Arts,4,1.Vocabulary,1.Vocabulary.1,Language Arts_G4,-0.22504040555135507,0.41
Opportunity 1,Medium,A13302,Math,3,4.Measurement,4.Measurement.6,Math_G3,0.7343155661142198,0.5
Opportunity 3,Medium,A14191,Math,3,3.Geometry,3.Geometry.5,Math_G3,1.189365103516502,0.32
Opportunity 1,Medium,A99400,Math,3,3.Geometry,3.Geometry.3,Math_G3,0.22782887101628982,0.54
Opportunity 3,Medium,A84963,Math,3,1.Probability,1.Probability.3,Math_G3,0.030728580143715968,0.51
Opportunity 2,Medium,A12314,Natural Science,5,1.Biology,1.Biology.2,Natural Science_G5,-0.1608318956240614,0.44
Opportunity 1,Medium,A71991,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,0.856691163160101,0.37
Opportunity 3,Medium,A72381,Natural Science,5,1.Biology,1.Biology.2,Natural Science_G5,-0.9779956345540441,0.41
Opportunity 1,Medium,A60966,Natural Science,5,4.Chemistry,4.Chemistry.3,Natural Science_G5,0.28396413146007365,0.49
Opportunity 2,Medium,A99912,Math,3,2.Algebra,2.Algebra.4,Math_G3,0.5828862905206738,0.65
Opportunity 2,Medium,A69402,Math,3,1.Probability,1.Probability.5,Math_G3,-1.9537826773731253,0.6
Opportunity 3,Medium,A74289,Natural Science,5,3.Earth Science,3.Earth Science.5,Natural Science_G5,-2.0407881702511514,0.51
Opportunity 3,Medium,A33127,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,0.5322057634761366,0.75
Opportunity 3,Medium,A58031,Natural Science,5,2.Physics,2.Physics.5,Natural Science_G5,0.3165110080238832,0.67
Opportunity 1,Medium,A86974,Natural Science,5,4.Chemistry,4.Chemistry.4,Natural Science_G5,-0.9756212841935824,0.75
Opportunity 1,Medium,A39598,Natural Science,5,2.Physics,2.Physics.4,Natural Science_G5,-0.30697685382072004,0.61
Opportunity 1,Medium,A67086,Language Arts,4,1.Vocabulary,1.Vocabulary.1,Language Arts_G4,1.589835703132934,0.55
Opportunity 2,Medium,A21621,Math,3,3.Geometry,3.Geometry.1,Math_G3,1.5160447076560732,0.45
Opportunity 2,Medium,A71527,Math,3,4.Measurement,4.Measurement.1,Math_G3,-0.9146317410478543,0.33
Opportunity 3,Medium,A68793,Natural Science,5,2.Physics,2.Physics.1,Natural Science_G5,0.803922046511155,0.63
Opportunity 3,Medium,A90347,Math,3,4.Measurement,4.Measurement.3,Math_G3,0.8348117703473434,0.78
Opportunity 1,Medium,A32344,Math,3,4.Measurement,4.Measurement.2,Math_G3,0.30713086987406185,0.53
Opportunity 1,Medium,A79289,Math,3,4.Measurement,4.Measurement.6,Math_G3,-0.3620214234933252,0.5
Opportunity 1,Medium,A35209,Language Arts,4,3.Grammar,3.Grammar.2,Language Arts_G4,0.19944029569645713,0.79
Opportunity 3,Medium,A55300,Math,3,3.Geometry,3.Geometry.6,Math_G3,-0.6650683264964252,0.64
Opportunity 2,Medium,A20815,Math,3,3.Geometry,3.Geometry.1,Math_G3,0.9647805410346135,0.59
Opportunity 3,Medium,A15427,Natural Science,5,3.Earth Science,3.Earth Science.5,Natural Science_G5,0.8508756424199221,0.49
Opportunity 3,Medium,A74094,Math,3,2.Algebra,2.Algebra.1,Math_G3,0.1763502412909701,0.42
Opportunity 1,Medium,A83861,Math,3,2.Algebra,2.Algebra.4,Math_G3,1.1148435022768757,0.7
Opportunity 1,Medium,A22840,Language Arts,4,2.Reading,2.Reading.4,Language Arts_G4,1.467496574145428,0.49
Opportunity 2,Medium,A81289,Language Arts,4,1.Vocabulary,1.Vocabulary.2,Language Arts_G4,1.3787123285697707,0.31
Opportunity 3,Medium,A41715,Natural Science,5,2.Physics,2.Physics.5,Natural Science_G5,1.5516996947574608,0.38
Opportunity 1,Medium,A85734,Math,3,1.Probability,1.Probability.3,Math_G3,0.11365713246186333,0.75
Opportunity 2,Medium,A38353,Math,3,2.Algebra,2.Algebra.3,Math_G3,0.7831960048371944,0.67
Opportunity 1,Medium,A59730,Math,3,2.Algebra,2.Algebra.2,Math_G3,0.7994819843256454,0.8
Opportunity 1,Medium,A10179,Natural Science,5,1.Biology,1.Biology.6,Natural Science_G5,0.12840191865950737,0.46
Opportunity 2,Medium,A95979,Math,3,4.Measurement,4.Measurement.4,Math_G3,1.6200227063048867,0.3
Opportunity 1,Medium,A12017,Language Arts,4,2.Reading,2.Reading.6,Language Arts_G4,1.3654688180445285,0.66
Opportunity 1,Medium,A72972,Language Arts,4,2.Reading,2.Reading.1,Language Arts_G4,-0.029733459875362554,0.73
Opportunity 2,Medium,A33478,Math,3,3.Geometry,3.Geometry.3,Math_G3,-0.331748628916585,0.66
Opportunity 3,Medium,A67654,Math,3,1.Probability,1.Probability.4,Math_G3,0.28116662553896565,0.41
Opportunity 1,Medium,A97877,Math,3,3.Geometry,3.Geometry.3,Math_G3,0.1020378047726755,0.61
Opportunity 2,Medium,A20745,Math,3,4.Measurement,4.Measurement.6,Math_G3,-1.082146720764914,0.67
Opportunity 3,Medium,A25990,Math,3,1.Probability,1.Probability.5,Math_G3,-0.3368320124502931,0.52
Opportunity 2,Medium,A18806,Math,3,1.Probability,1.Probability.2,Math_G3,-2.119252329365307,0.68
Opportunity 3,Medium,A55385,Natural Science,5,1.Biology,1.Biology.2,Natural Science_G5,0.6575606190895581,0.51
Opportunity 2,Medium,A92441,Math,3,2.Algebra,2.Algebra.3,Math_G3,0.9123688371050525,0.58
Opportunity 3,Medium,A76827,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,0.71697633206954,0.36
Opportunity 2,Medium,A42895,Math,3,3.Geometry,3.Geometry.1,Math_G3,-0.0241378454267903,0.55
Opportunity 2,Medium,A75679,Language Arts,4,4.Writing,4.Writing.6,Language Arts_G4,-0.5443685026524255,0.63
Opportunity 1,Medium,A74369,Language Arts,4,2.Reading,2.Reading.5,Language Arts_G4,0.6828274102774373,0.31
Opportunity 1,Medium,A37748,Natural Science,5,2.Physics,2.Physics.1,Natural Science_G5,-0.7149676513717537,0.7
Opportunity 1,Medium,A40474,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,0.2598363270867765,0.32
Opportunity 2,Medium,A41944,Math,3,4.Measurement,4.Measurement.4,Math_G3,0.6234597120198039,0.67
Opportunity 2,Medium,A85394,Natural Science,5,3.Earth Science,3.Earth Science.2,Natural Science_G5,0.3490337350388488,0.67
Opportunity 3,Medium,A28159,Math,3,1.Probability,1.Probability.1,Math_G3,2.441569514022088,0.68
Opportunity 2,Medium,A44491,Natural Science,5,1.Biology,1.Biology.2,Natural Science_G5,-0.9937445854679778,0.46
Opportunity 1,Medium,A13998,Natural Science,5,1.Biology,1.Biology.3,Natural Science_G5,-0.13843259728705698,0.61
Opportunity 1,Medium,A56190,Language Arts,4,3.Grammar,3.Grammar.4,Language Arts_G4,-0.8438462882341048,0.58
Opportunity 2,Medium,A67563,Natural Science,5,4.Chemistry,4.Chemistry.4,Natural Science_G5,0.16190464735633822,0.45
Opportunity 2,Medium,A58966,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,0.6487104423762045,0.75
Opportunity 1,Medium,A26421,Language Arts,4,2.Reading,2.Reading.3,Language Arts_G4,-0.48741435856816584,0.63
Opportunity 1,Medium,A40019,Language Arts,4,2.Reading,2.Reading.4,Language Arts_G4,0.5419024905777194,0.74
Opportunity 2,Medium,A95801,Language Arts,4,3.Grammar,3.Grammar.3,Language Arts_G4,0.7764602009449874,0.33
Opportunity 1,Medium,A85379,Language Arts,4,3.Grammar,3.Grammar.2,Language Arts_G4,-0.6395963646366435,0.76
Opportunity 3,Medium,A58728,Language Arts,4,3.Grammar,3.Grammar.4,Language Arts_G4,0.40445251508965435,0.52
Opportunity 1,Medium,A70076,Language Arts,4,4.Writing,4.Writing.1,Language Arts_G4,0.20002785413113594,0.58
Opportunity 1,Medium,A57940,Natural Science,5,2.Physics,2.Physics.5,Natural Science_G5,0.732688882300093,0.47
Opportunity 2,Medium,A96014,Language Arts,4,2.Reading,2.Reading.5,Language Arts_G4,-1.1345694090994691,0.68
Opportunity 2,Medium,A92629,Natural Science,5,4.Chemistry,4.Chemistry.1,Natural Science_G5,2.2917738515089425,0.53
Opportunity 3,Medium,A82302,Natural Science,5,3.Earth Science,3.Earth Science.6,Natural Science_G5,-0.6382500791987794,0.61
Opportunity 2,Medium,A85709,Natural Science,5,3.Earth Science,3.Earth Science.1,Natural Science_G5,1.323082665860764,0.69
Opportunity 1,Medium,A50253,Math,3,1.Probability,1.Probability.5,Math_G3,-1.55715230199389,0.68
Opportunity 1,Medium,A71770,Natural Science,5,2.Physics,2.Physics.6,Natural Science_G5,-0.7196712646929319,0.46
Opportunity 2,Medium,A42286,Math,3,1.Probability,1.Probability.4,Math_G3,0.5333179669525042,0.45
Opportunity 1,Medium,A69120,Math,3,3.Geometry,3.Geometry.4,Math_G3,-0.7227519690286603,0.59
Opportunity 2,Medium,A58479,Natural Science,5,2.Physics,2.Physics.4,Natural Science_G5,-0.12613696523001405,0.59
Opportunity 1,Medium,A92520,Math,3,3.Geometry,3.Geometry.1,Math_G3,0.9824356336799923,0.78
Opportunity 2,Medium,A81326,Natural Science,5,2.Physics,2.Physics.5,Natural Science_G5,1.0968905753335143,0.5
Opportunity 1,Medium,A69748,Natural Science,5,1.Biology,1.Biology.6,Natural Science_G5,0.3945304470487479,0.45
Opportunity 1,Medium,A92721,Math,3,3.Geometry,3.Geometry.2,Math_G3,-1.1175954274810092,0.74
Opportunity 2,Medium,A28788,Math,3,4.Measurement,4.Measurement.4,Math_G3,-2.1979656117560484,0.36
Opportunity 2,Medium,A64766,Math,3,2.Algebra,2.Algebra.5,Math_G3,-0.34774256870569803,0.69
Opportunity 3,Medium,A90633,Language Arts,4,1.Vocabulary,1.Vocabulary.4,Language Arts_G4,-1.6954623540111633,0.65
Opportunity 2,Medium,A99277,Math,3,3.Geometry,3.Geometry.4,Math_G3,-0.30132138896184335,0.68
Opportunity 3,Medium,A17848,Natural Science,5,2.Physics,2.Physics.4,Natural Science_G5,0.3784692280822055,0.74
Opportunity 2,Medium,A61801,Natural Science,5,1.Biology,1.Biology.5,Natural Science_G5,-0.49966216948143893,0.55
Opportunity 1,Medium,A47204,Math,3,4.Measurement,4.Measurement.4,Math_G3,-1.257885730633002,0.74
Opportunity 3,Medium,A61461,Natural Science,5,3.Earth Science,3.Earth Science.6,Natural Science_G5,-0.6222795931735688,0.36
Opportunity 3,Medium,A82043,Language Arts,4,2.Reading,2.Reading.2,Language Arts_G4,-1.034491156994258,0.64
Opportunity 1,Medium,A57331,Math,3,3.Geometry,3.Geometry.5,Math_G3,0.3390248096487035,0.58
Opportunity 2,Medium,A91659,Math,3,1.Probability,1.Probability.6,Math_G3,0.14689863678163886,0.59
Opportunity 2,Medium,A92341,Language Arts,4,1.Vocabulary,1.Vocabulary.6,Language Arts_G4,0.07054669184601113,0.71
Opportunity 3,Medium,A31299,Math,3,4.Measurement,4.Measurement.4,Math_G3,0.05638923654127579,0.49
Opportunity 2,Medium,A36570,Natural Science,5,1.Biology,1.Biology.1,Natural Science_G5,1.2329879933318646,0.47
Opportunity 1,Medium,A49349,Natural Science,5,4.Chemistry,4.Chemistry.4,Natural Science_G5,0.20044378524089163,0.43
Opportunity 3,Medium,A23661,Math,3,4.Measurement,4.Measurement.3,Math_G3,-1.0821360758854683,0.6
Opportunity 3,Medium,A12345,Math,3,3.Geometry,3.Geometry.1,Math_G3,-0.9124085807624496,0.58
Opportunity 2,Medium,A32777,Natural Science,5,3.Earth Science,3.Earth Science.4,Natural Science_G5,-1.055301935675308,0.45
Opportunity 2,Medium,A32406,Math,3,3.Geometry,3.Geometry.1,Math_G3,-0.6177976170807524,0.46
Opportunity 1,Medium,A36311,Language Arts,4,2.Reading,2.Reading.6,Language Arts_G4,0.8407096146765817,0.55
Opportunity 2,Medium,A53301,Language Arts,4,4.Writing,4.Writing.5,Language Arts_G4,0.190752665041471,0.47
Opportunity 2,Medium,A93512,Math,3,3.Geometry,3.Geometry.1,Math_G3,-1.2721111729175707,0.44
Opportunity 3,Medium,A55185,Language Arts,4,2.Reading,2.Reading.6,Language Arts_G4,1.796677313203747,0.3
Opportunity 1,Medium,A45422,Natural Science,5,2.Physics,2.Physics.1,Natural Science_G5,0.40906262546396205,0.56
Opportunity 2,Medium,A68151,Math,3,1.Probability,1.Probability.6,Math_G3,0.48521628414842566,0.79
Opportunity 2,Medium,A92041,Natural Science,5,2.Physics,2.Physics.3,Natural Science_G5,0.529830759515499,0.55
Opportunity 1,Medium,A87590,Math,3,2.Algebra,2.Algebra.5,Math_G3,1.0910341060197355,0.75
Opportunity 1,Medium,A21837,Language Arts,4,1.Vocabulary,1.Vocabulary.4,Language Arts_G4,0.5473266417524323,0.3
Opportunity 2,Medium,A47162,Natural Science,5,1.Biology,1.Biology.6,Natural Science_G5,-1.8016487671109693,0.59
Opportunity 2,Medium,A77066,Natural Science,5,3.Earth Science,3.Earth Science.6,Natural Science_G5,-1.2822143911541024,0.6
Opportunity 3,Medium,A92476,Natural Science,5,1.Biology,1.Biology.3,Natural Science_G5,0.9951988118032934,0.78
Opportunity 3,Medium,A33295,Language Arts,4,4.Writing,4.Writing.6,Language Arts_G4,-0.3476027520051696,0.3
Opportunity 1,Medium,A43395,Language Arts,4,3.Grammar,3.Grammar.4,Language Arts_G4,0.569079479914218,0.37
Opportunity 3,Medium,A33242,Language Arts,4,2.Reading,2.Reading.6,Language Arts_G4,0.4889055094993529,0.44
Opportunity 3,Medium,A85822,Math,3,2.Algebra,2.Algebra.1,Math_G3,-1.2506641958275466,0.42
Opportunity 2,Medium,A74743,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,1.3025402850088372,0.47
Opportunity 2,Medium,A64470,Natural Science,5,2.Physics,2.Physics.2,Natural Science_G5,-0.3288606627953281,0.49
Opportunity 3,Medium,A33042,Natural Science,5,4.Chemistry,4.Chemistry.2,Natural Science_G5,-0.029158444276607833,0.48
Opportunity 2,Medium,A53481,Math,3,1.Probability,1.Probability.6,Math_G3,-1.0330413632547388,0.33
Opportunity 1,Medium,A65790,Natural Science,5,3.Earth Science,3.Earth Science.3,Natural Science_G5,1.9500910890637357,0.49
Opportunity 3,Medium,A83280,Natural Science,5,4.Chemistry,4.Chemistry.1,Natural Science_G5,0.3814432564874566,0.54
Opportunity 3,Medium,A99737,Math,3,3.Geometry,3.Geometry.4,Math_G3,0.5542346483910163,0.63
Opportunity 2,Medium,A87154,Math,3,1.Probability,1.Probability.6,Math_G3,0.03672541249925173,0.7
Opportunity 2,Medium,A66998,Natural Science,5,2.Physics,2.Physics.5,Natural Science_G5,1.019985345625868,0.51
Opportunity 3,Medium,A36738,Math,3,3.Geometry,3.Geometry.2,Math_G3,-1.107352140589092,0.52
Opportunity 2,Medium,A25356,Language Arts,4,2.Reading,2.Reading.1,Language Arts_G4,1.2236506015183641,0.69
Opportunity 2,Medium,A34566,Language Arts,4,4.Writing,4.Writing.6,Language Arts_G4,-1.0206007248949782,0.53
Opportunity 2,Medium,A63292,Language Arts,4,4.Writing,4.Writing.6,Language Arts_G4,1.16017041539159,0.52
Opportunity 1,Medium,A77874,Math,3,1.Probability,1.Probability.1,Math_G3,-0.7335425696813,0.36
Opportunity 3,Medium,A38879,Natural Science,5,3.Earth Science,3.Earth Science.3,Natural Science_G5,0.8875228638078978,0.53
Opportunity 1,Medium,A40623,Natural Science,5,3.Earth Science,3.Earth Science.1,Natural Science_G5,0.6002193703884113,0.42
Opportunity 3,Medium,A19462,Language Arts,4,3.Grammar,3.Grammar.2,Language Arts_G4,1.444264623993643,0.6
Opportunity 2,Medium,A97846,Math,3,4.Measurement,4.Measurement.3,Math_G3,-1.2423010971165656,0.79
Opportunity 3,Medium,A90259,Math,3,1.Probability,1.Probability.5,Math_G3,-1.1234310459430006,0.43
Opportunity 2,Medium,A96714,Language Arts,4,2.Reading,2.Reading.4,Language Arts_G4,0.8722065244590329,0.54
Opportunity 1,Medium,A76552,Natural Science,5,3.Earth Science,3.Earth Science.4,Natural Science_G5,1.4091724361807014,0.73
Opportunity 1,Medium,A47057,Math,3,1.Probability,1.Probability.5,Math_G3,1.6859209969719025,0.45
Opportunity 2,Medium,A30750,Language Arts,4,3.Grammar,3.Grammar.5,Language Arts_G4,1.747260582621251,0.31
